onset_time,offset_time,duration,midi_note,note_name,velocity,onset_prob,offset_prob,decode_source
5.12,5.184,0.064,57,A3,93,0.8862,0.56,primary_onset
5.12,5.248,0.128,77,F5,102,0.85,0.6218,primary_onset
5.12,5.248,0.128,89,F6,96,0.8202,0.7115,primary_onset
5.136,5.2,0.064,45,A2,92,0.8973,0.6653,primary_onset
5.152,5.184,0.032,87,D#6,67,0.8399,0.6438,primary_onset
5.216,5.28,0.064,54,F#3,71,0.805,0.7814,primary_onset
5.376,5.52,0.144,66,F#4,101,0.843,0.6055,primary_onset
5.392,5.488,0.096,54,F#3,90,0.8945,0.7046,primary_onset
5.392,5.552,0.16,75,D#5,102,0.9007,0.6154,primary_onset
5.392,5.536,0.144,87,D#6,96,0.883,0.6009,primary_onset
5.664,5.776,0.112,65,F4,91,0.8452,0.6267,primary_onset
5.68,5.792,0.112,72,C5,96,0.8746,0.6272,primary_onset
5.68,5.808,0.128,84,C6,92,0.8496,0.7779,primary_onset
5.696,5.728,0.032,64,E4,75,0.8731,0.4571,primary_onset
5.696,5.728,0.032,86,D6,72,0.8049,0.4888,primary_onset
5.792,5.856,0.064,78,F#5,73,0.8352,0.6144,primary_onset
5.936,5.984,0.048,63,D#4,96,0.8989,0.4975,primary_onset
5.952,6.064,0.112,51,D#3,87,0.7991,0.5483,primary_onset
5.952,6.064,0.112,70,A#4,100,0.8632,0.5693,primary_onset
5.952,6.112,0.16,82,A#5,95,0.8838,0.6688,primary_onset
5.984,6.016,0.032,83,B5,66,0.7595,0.5254,primary_onset
6.064,6.112,0.048,56,G#3,73,0.8436,0.7251,primary_onset
6.208,6.272,0.064,61,C#4,103,0.8884,0.5372,primary_onset
6.208,6.368,0.16,72,C5,93,0.9038,0.6142,primary_onset
6.208,6.368,0.16,84,C6,94,0.8793,0.6119,primary_onset
6.224,6.272,0.048,49,C#3,91,0.8838,0.5774,primary_onset
6.48,6.544,0.064,60,C4,97,0.8732,0.684,primary_onset
6.48,6.576,0.096,72,C5,93,0.8723,0.6886,primary_onset
6.496,6.56,0.064,48,C3,73,0.7664,0.5976,primary_onset
6.496,6.592,0.096,83,B5,93,0.8215,0.6725,primary_onset
6.512,6.544,0.032,80,G#5,64,0.8,0.4132,primary_onset
6.688,6.736,0.048,58,A#3,95,0.8474,0.7009,primary_onset
6.704,6.768,0.064,46,A#2,86,0.8994,0.6587,primary_onset
6.704,6.832,0.128,73,C#5,104,0.8704,0.576,primary_onset
6.704,6.848,0.144,85,C#6,96,0.9246,0.6564,primary_onset
6.96,7.088,0.128,44,G#2,89,0.8051,0.5206,primary_onset
6.96,7.024,0.064,56,G#3,100,0.838,0.6657,primary_onset
6.96,7.088,0.128,74,D5,105,0.87,0.6809,primary_onset
6.96,7.104,0.144,86,D6,100,0.9029,0.6998,primary_onset
6.976,7.04,0.064,46,A#2,65,0.7611,0.4521,primary_onset
7.216,7.296,0.08,55,G3,97,0.8281,0.6908,primary_onset
7.216,7.328,0.112,75,D#5,104,0.87,0.7216,primary_onset
7.216,7.344,0.128,87,D#6,98,0.8392,0.7271,primary_onset
7.232,7.296,0.064,43,G2,91,0.8685,0.717,primary_onset
7.232,7.264,0.032,85,C#6,87,0.8527,0.6012,primary_onset
7.296,7.328,0.032,46,A#2,59,0.7592,0.5898,primary_onset
7.44,7.488,0.048,54,F#3,100,0.8728,0.4574,primary_onset
7.456,7.488,0.032,42,F#2,90,0.9144,0.3771,primary_onset
7.456,7.488,0.032,76,E5,102,0.8802,0.3685,primary_onset
7.456,7.616,0.16,88,E6,96,0.8992,0.6555,primary_onset
7.584,7.632,0.048,82,A#5,71,0.7749,0.6049,primary_onset
7.712,7.84,0.128,53,F3,105,0.835,0.5031,primary_onset
7.728,7.84,0.112,41,F2,93,0.8349,0.6318,primary_onset
7.728,7.856,0.128,77,F5,104,0.845,0.617,primary_onset
7.728,7.888,0.16,89,F6,100,0.8273,0.5773,primary_onset
7.84,7.936,0.096,85,C#6,82,0.8818,0.7402,primary_onset
8.0,8.08,0.08,52,E3,103,0.8559,0.6509,primary_onset
8.0,8.064,0.064,79,G5,104,0.858,0.5467,primary_onset
8.0,8.144,0.144,91,G6,104,0.9003,0.5055,primary_onset
8.016,8.096,0.08,40,E2,96,0.8853,0.6462,primary_onset
8.048,8.08,0.032,90,F#6,63,0.7532,0.6452,primary_onset
8.288,8.368,0.08,51,D#3,99,0.8753,0.769,primary_onset
8.304,8.496,0.192,81,A5,104,0.8587,0.6716,primary_onset
8.304,8.48,0.176,84,C6,97,0.8802,0.4752,primary_onset
8.304,8.432,0.128,93,A6,108,0.8885,0.4825,primary_onset
8.448,8.512,0.064,51,D#3,93,0.8932,0.7467,primary_onset
8.624,8.704,0.08,49,C#3,95,0.797,0.7763,primary_onset
8.64,8.688,0.048,37,C#2,95,0.8716,0.6772,primary_onset
8.64,8.704,0.064,82,A#5,107,0.8799,0.5454,primary_onset
8.64,8.736,0.096,94,A#6,102,0.9121,0.627,primary_onset
8.8,8.864,0.064,49,C#3,102,0.9163,0.7593,primary_onset
9.024,9.088,0.064,46,A#2,103,0.8647,0.6431,primary_onset
9.04,9.072,0.032,34,A#1,96,0.8543,0.844,primary_onset
9.056,9.12,0.064,85,C#6,101,0.8479,0.61,primary_onset
9.056,9.12,0.064,97,C#7,107,0.8753,0.7352,primary_onset
9.328,9.392,0.064,73,C#5,101,0.8968,0.7139,primary_onset
9.328,9.456,0.128,85,C#6,98,0.8997,0.776,primary_onset
9.344,9.392,0.048,67,G4,90,0.9026,0.7368,primary_onset
9.36,9.408,0.048,63,D#4,77,0.8787,0.7173,primary_onset
9.552,9.6,0.048,48,C3,101,0.8765,0.7409,primary_onset
9.568,9.648,0.08,84,C6,100,0.802,0.6502,primary_onset
9.568,9.632,0.064,96,C7,100,0.854,0.8329,primary_onset
9.744,9.792,0.048,65,F4,97,0.8567,0.7801,primary_onset
9.76,9.808,0.048,74,D5,96,0.8225,0.8095,primary_onset
9.76,9.824,0.064,86,D6,99,0.904,0.8245,primary_onset
9.936,9.984,0.048,37,C#2,89,0.8699,0.5781,primary_onset
9.936,9.984,0.048,49,C#3,92,0.8423,0.6673,primary_onset
9.936,9.984,0.048,94,A#6,92,0.9049,0.5138,primary_onset
9.952,9.984,0.032,82,A#5,97,0.8179,0.4368,primary_onset
